127.0.0.1 - - [25/Jan/2016:10:17:02 -0600] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:17:02 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:17:25 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:17:27 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:17:27 -0600] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:17:44 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:18:17 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 211
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:21:04 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 340
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:21:57 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:21:59 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:22:00 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:22:00 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:23:10 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:23:13 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:23:14 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:23:14 -0600] "GET /Hello_World/user_background.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:33:48 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:36:26 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:39:03 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:22 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:24 -0600] "GET /Hello_World/user_bg_gray.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:25 -0600] "GET /Hello_World/user_bg_blue.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:26 -0600] "GET /Hello_World/user_bg_red.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:27 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:37 -0600] "GET /Hello_World/user_bg_gray.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:38 -0600] "GET /Hello_World/user_bg_blue.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:38 -0600] "GET /Hello_World/user_bg_red.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:39 -0600] "GET /Hello_World/user_bg_blue.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:40 -0600] "GET /Hello_World/user_bg_gray.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:40 -0600] "GET /Hello_World/user_bg_white.jsp HTTP/1.1" 200 345
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:41 -0600] "GET /Hello_World/user_bg_gray.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:42 -0600] "GET /Hello_World/user_bg_blue.jsp HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [25/Jan/2016:10:45:42 -0600] "GET /Hello_World/user_bg_red.jsp HTTP/1.1" 200 343
